dateworked,houersWordked
12/1/2017,2:21
4/28/2016,1:53
12/19/2016,19:30
11/18/2017,16:43
3/13/2020,6:25
6/12/2017,22:26
6/7/2019,1:47
8/23/2019,11:27
1/6/2021,11:08
1/13/2016,16:23
3/25/2020,17:10
11/16/2019,22:05
6/26/2020,12:33
1/27/2019,23:54
10/23/2016,8:29
9/21/2015,12:35
8/1/2020,7:17
1/15/2019,10:47
5/31/2015,17:02
1/31/2021,22:37
4/24/2021,21:35
1/4/2021,5:22
6/25/2016,2:47
12/8/2018,5:34
1/21/2019,4:20
7/7/2016,22:38
10/28/2019,6:41
4/26/2018,16:45
12/25/2016,11:19
11/18/2017,0:41
12/4/2017,4:24
12/11/2020,13:29
3/4/2017,20:40
6/18/2018,8:55
8/31/2020,0:49
11/28/2019,4:55
9/15/2017,20:38
1/20/2019,4:58
9/13/2019,5:29
6/11/2015,20:48
4/19/2019,21:31
6/11/2019,12:06
1/1/2021,13:47
10/25/2020,1:16
12/4/2017,14:43
6/26/2017,21:51
8/26/2015,6:29
2/1/2016,13:04
2/7/2021,16:57
9/22/2016,7:41
11/3/2019,4:49
1/19/2018,16:31
2/19/2021,12:17
11/27/2018,3:17
12/17/2015,5:43
12/11/2016,5:20
10/9/2017,20:16
2/10/2016,11:30
1/24/2021,5:07
9/26/2019,4:27
10/28/2019,0:52
1/17/2016,23:23
9/4/2016,9:59
2/17/2021,5:37
9/15/2017,1:19
12/28/2016,8:43
8/6/2020,3:45
9/1/2017,22:25
7/5/2018,20:41
7/30/2016,8:32
6/26/2019,23:03
7/20/2018,20:00
5/20/2020,11:48
9/27/2018,17:21
3/30/2017,18:08
1/16/2019,3:28
4/8/2016,21:25
10/19/2019,16:54
6/3/2015,13:39
10/27/2017,18:03
1/1/2019,17:16
12/18/2019,14:41
3/21/2019,2:37
11/18/2017,6:57
10/7/2019,11:35
11/4/2020,5:44
1/20/2019,20:46
5/6/2016,21:39
1/14/2020,0:35
11/18/2018,2:41
7/17/2018,21:45
9/27/2017,6:56
11/27/2018,21:56
12/14/2016,13:46
2/22/2019,4:22
10/15/2019,8:22
8/1/2015,16:00
6/24/2018,20:22
2/17/2018,13:29
6/28/2016,19:49
3/29/2019,15:39
3/31/2021,16:35
2/11/2016,18:21
12/14/2019,1:34
3/19/2021,6:23
3/3/2018,21:27
1/23/2017,12:36
1/30/2017,6:19
6/18/2020,1:00
12/29/2016,11:57
7/18/2020,0:44
3/15/2017,4:44
4/27/2017,15:18
7/10/2016,17:23
4/16/2018,18:26
4/8/2021,20:28
10/26/2016,13:08
8/16/2015,4:15
1/28/2018,3:24
3/24/2019,20:55
4/5/2018,12:09
10/9/2019,19:14
7/24/2015,14:32
4/13/2016,21:19
10/16/2019,6:04
8/5/2020,18:11
9/30/2020,4:43
10/2/2016,19:46
7/21/2015,20:33
5/27/2015,7:33
2/5/2017,3:52
2/5/2021,20:22
11/28/2017,20:49
3/28/2020,18:09
11/2/2018,7:30
8/6/2016,7:58
8/8/2018,10:01
2/27/2019,10:40
1/20/2021,19:29
10/18/2019,19:25
1/31/2016,21:07
2/14/2017,8:54
3/27/2016,0:30
7/27/2016,0:28
6/3/2020,5:23
8/27/2017,15:37
10/25/2016,17:57
1/31/2017,14:15
5/19/2019,17:16
7/5/2020,5:59
4/4/2016,12:12
7/24/2019,19:42
9/5/2020,9:51
1/2/2016,5:57
5/13/2017,5:33
6/19/2017,10:24
3/25/2018,5:41
1/4/2018,1:49
9/2/2017,19:32
6/8/2017,8:22
4/25/2017,22:06
5/4/2019,17:22
3/9/2020,21:07
4/17/2018,18:19
9/16/2019,16:02
7/1/2018,13:09
4/22/2017,17:29
11/26/2020,8:01
8/29/2016,18:24
10/5/2016,13:36
12/2/2018,5:32
1/2/2017,9:57
2/6/2020,0:15
11/8/2020,15:26
6/18/2015,3:34
5/10/2019,4:53
1/20/2017,4:04
3/22/2020,22:40
2/9/2018,1:56
12/10/2018,0:26
5/21/2016,16:15
10/22/2017,15:02
7/6/2018,11:12
6/21/2018,16:29
6/5/2015,6:37
6/23/2020,1:54
8/2/2018,14:26
9/26/2018,3:59
3/13/2016,16:46
7/21/2017,0:05
7/31/2017,3:23
9/11/2020,8:17
